,topic,year,topic_count,total_posts_per_year,topic_proportion_year
0,Topic 0,2011,13,1400,0.009285714285714286
1,Topic 0,2012,202,15956,0.01265981448984708
2,Topic 0,2013,281,19872,0.014140499194847021
3,Topic 0,2014,295,23734,0.012429426139715177
4,Topic 0,2015,515,40541,0.012703189363853876
5,Topic 0,2016,631,59424,0.010618605277329026
6,Topic 0,2017,782,79365,0.009853209853209853
7,Topic 0,2018,561,62029,0.009044156765383933
8,Topic 0,2019,572,62416,0.009164316841835426
9,Topic 0,2020,649,81554,0.007957917453466416
10,Topic 0,2021,400,52101,0.007677395827335368
11,Topic 0,2022,283,38252,0.007398305970929625
12,Topic 0,2023,156,25299,0.006166251630499229
13,Topic 1,2011,5,1400,0.0035714285714285713
14,Topic 1,2012,68,15956,0.004261719729255453
15,Topic 1,2013,139,19872,0.006994766505636071
16,Topic 1,2014,149,23734,0.006277913541754445
17,Topic 1,2015,297,40541,0.0073259169729409735
18,Topic 1,2016,452,59424,0.007606354334948842
19,Topic 1,2017,638,79365,0.008038808038808038
20,Topic 1,2018,598,62029,0.009640651953118702
21,Topic 1,2019,598,62416,0.009580876698282491
22,Topic 1,2020,725,81554,0.008889815337077275
23,Topic 1,2021,488,52101,0.009366422909349149
24,Topic 1,2022,335,38252,0.008757712015058036
25,Topic 1,2023,182,25299,0.007193960235582434
26,Topic 11,2011,3,1400,0.002142857142857143
27,Topic 11,2012,24,15956,0.0015041363750313362
28,Topic 11,2013,50,19872,0.0025161030595813203
29,Topic 11,2014,90,23734,0.00379202831381141
30,Topic 11,2015,250,40541,0.006166596778569843
31,Topic 11,2016,448,59424,0.007539041464728056
32,Topic 11,2017,447,79365,0.005632205632205632
33,Topic 11,2018,303,62029,0.004884811942800948
34,Topic 11,2019,308,62416,0.004934632145603691
35,Topic 11,2020,366,81554,0.004487824018441769
36,Topic 11,2021,269,52101,0.005163048693883035
37,Topic 11,2022,177,38252,0.004627209034821709
38,Topic 11,2023,190,25299,0.007510178267915728
39,Topic 12,2012,21,15956,0.0013161193281524192
40,Topic 12,2013,45,19872,0.0022644927536231885
41,Topic 12,2014,65,23734,0.0027386871155304624
42,Topic 12,2015,130,40541,0.0032066303248563183
43,Topic 12,2016,296,59424,0.00498115239633818
44,Topic 12,2017,416,79365,0.005241605241605242
45,Topic 12,2018,367,62029,0.005916587402666495
46,Topic 12,2019,303,62416,0.0048545244809023325
47,Topic 12,2020,506,81554,0.006204478014567035
48,Topic 12,2021,371,52101,0.007120784629853554
49,Topic 12,2022,237,38252,0.006195754470354491
50,Topic 12,2023,129,25299,0.005099015771374363
